Earthquake Date Time,Id,Place,Region of the World,Latitude,Magnitude,Mag Type,Net,Update Date Time,Depth (km),Longitude,Magnitude^10,Number of Records
19/12/1986,centennial19861219034155,"Sumba region, Indonesia",APAC,-10.057,6.3,ms,centennial,31/10/2013 20:14:25,23,119.019,98493029.19,1
21/12/1986,centennial19861221011053,Kermadec Islands region,APAC,-28.044,6.5,ms,centennial,9/7/2013 19:08,22,-176.674,134627433.4,1
22/12/1986,centennial19861222141841,Scotia Sea,North & South America,-56.921,6.4,ms,centennial,9/7/2013 19:08,23.4,-48.867,115292150.5,1
25/12/1986,centennial19861225171744,"off the coast of Aisen, Chile",North & South America,-44.461,6.3,ms,centennial,9/7/2013 19:08,22.6,-79.02,98493029.19,1
28/12/1986,centennial19861228200439,Mid-Indian Ridge,APAC,-38.644,6.2,ms,centennial,9/7/2013 19:08,12.2,78.638,83929936.59,1
3/1/1987,centennial19870103153507,Bismarck Sea,APAC,-3.468,6.1,ms,centennial,9/7/2013 19:08,32.6,146.254,71334291.17,1
3/1/1987,centennial19870103163028,Bismarck Sea,APAC,-3.418,6.2,ms,centennial,9/7/2013 19:08,4.5,146.325,83929936.59,1
3/1/1987,centennial19870103220407,Vanuatu,APAC,-15.019,6.7,ms,centennial,31/10/2013 20:27:37,24.1,168.015,182283780.5,1
4/1/1987,centennial19870104175238,south of Panama,North & South America,5.851,6.2,ms,centennial,9/7/2013 19:08,14.3,-82.636,83929936.59,1
5/1/1987,centennial19870105121155,"Fox Islands, Aleutian Islands, Alaska",APAC,52.502,6.8,ms,centennial,9/7/2013 19:08,17.8,-169.406,211392282,1
9/1/1987,centennial19870109080133,Fiji region,APAC,-19.434,6.5,ms,centennial,9/7/2013 19:08,5.7,-176.433,134627433.4,1
9/1/1987,centennial19870109061446,"eastern Honshu, Japan",APAC,39.875,6.6,ms,centennial,31/10/2013 20:35:54,74.6,141.62,156833688.1,1
14/01/1987,centennial19870114110350,"Hokkaido, Japan region",APAC,42.595,6.8,ms,centennial,31/10/2013 20:40:29,102.9,142.806,211392282,1
